2026-09-12 00:00:49 | ADA/USDT | SELL OPEN | Вход: 0.20550 | SL: 0.20690 | TP: 0.20080
2026-09-12 00:00:57 | BCH/USDT | SELL OPEN | Вход: 228.91000 | SL: 230.37000 | TP: 225.56000
2026-09-12 00:01:02 | APT/USDT | SELL OPEN | Вход: 0.59880 | SL: 0.60180 | TP: 0.59000
2026-09-12 00:20:05 | ADA/USDT | SELL CLOSED | PnL: -7.87 USDT | Вход: 0.20550 | Выход: 0.20690
2026-09-12 01:02:52 | APT/USDT | SELL CLOSED | PnL: 11.83 USDT | Вход: 0.59880 | Выход: 0.59010
2026-09-12 02:30:26 | ADA/USDT | SELL OPEN | Вход: 0.20530 | SL: 0.20740 | TP: 0.20070
2026-09-12 03:00:21 | ATOM/USDT | SELL OPEN | Вход: 1.64000 | SL: 1.64500 | TP: 1.62800
2026-09-12 03:21:49 | ATOM/USDT | SELL CLOSED | PnL: -6.04 USDT | Вход: 1.64000 | Выход: 1.64500
2026-09-12 11:14:43 | ADA/USDT | SELL CLOSED | PnL: -5.09 USDT | Вход: 0.20530 | Выход: 0.20740
2026-09-12 11:15:03 | BCH/USDT | SELL CLOSED | PnL: -5.34 USDT | Вход: 228.91000 | Выход: 230.37000
2026-09-12 12:30:33 | ATOM/USDT | SELL OPEN | Вход: 1.64100 | SL: 1.64600 | TP: 1.62500
